"SpeciesLatinName","GestationTimeInYears","averagedMaturity.yrs","maxAge"
"Onychodactylus fischeri",NA,NA,17
"Onychodactylus japonicus",NA,NA,14.2
"Paradactylodon mustersi",NA,NA,11
"Salamandrella keyserlingii",0.063013698630137,NA,8
"Aneides aeneus",0.224657534246575,2.4986301369863,NA
"Aneides lugubris",NA,3,NA
"Bolitoglossa dofleini",NA,NA,6.9
"Bolitoglossa mexicana",NA,NA,12.2
"Desmognathus monticola",0.123287671232877,3.9986301369863,17.7
"Desmognathus ochrophaeus",NA,3.50684931506849,19.8
"Desmognathus quadramaculatus",NA,3.50684931506849,15
"Desmognathus welteri",NA,4.4986301369863,20
"Ensatina eschscholtzii",0.378082191780822,3.5013698630137,NA
"Eurycea lucifuga",0.0356164383561644,3,9.1
"Eurycea rathbuni",NA,NA,10.3
"Eurycea spelaea",NA,NA,9.9
"Eurycea wilderae",NA,3.5013698630137,8
"Gyrinophilus palleucus",NA,NA,18.5
"Gyrinophilus porphyriticus",NA,4,18.5
"Hemidactylium scutatum",NA,2.4986301369863,8.9
"Phaeognathus hubrichti",NA,5.5013698630137,19.7
"Plethodon cinereus",NA,2,25
"Plethodon dunni",0.191780821917808,3,11
"Plethodon elongatus",NA,NA,13.3
"Plethodon glutinosus",NA,2.49315068493151,20.1
"Plethodon jordani",NA,4,19.8
"Plethodon vehiculum",NA,NA,11.1
"Plethodon yonahlossee",NA,3,NA
"Pseudotriton montanus",NA,3.75068493150685,15.1
"Pseudotriton ruber",0.205479452054795,4.5,20.1
"Speleomantes italicus",0.832876712328767,3.5013698630137,10.6
"Necturus maculosus",0.136986301369863,5.5,34
"Necturus punctatus",NA,5,NA
"Proteus anguinus",0.364383561643836,11.2986301369863,102
"Calotriton asper",NA,NA,26
"Cynops ensicauda",NA,NA,17.9
"Cynops pyrrhogaster",0.0547945205479452,2.5013698630137,25
"Ichthyosaura alpestris",NA,3.5,15
"Lissotriton boscai",NA,NA,8
"Lissotriton vulgaris",NA,2.5,20
"Notophthalmus perstriatus",NA,1.33424657534247,12.9
"Notophthalmus viridescens",NA,5.47945205479452,25
"Pachytriton brevipes",NA,NA,6.5
"Paramesotriton chinensis",NA,NA,10.3
"Pleurodeles poireti",NA,NA,14
"Pleurodeles waltl",0.0356164383561644,NA,19.5
"Salamandra atra",NA,NA,17
"Salamandra salamandra",NA,NA,24
"Taricha granulosa",0.063013698630137,3.5013698630137,NA
"Taricha rivularis",0.0493150684931507,5,NA
"Taricha torosa",0.123287671232877,3,21.8
"Triturus carnifex",NA,NA,11
"Triturus cristatus",0.0438356164383562,NA,28
"Triturus marmoratus",NA,4,25
"Tylototriton verrucosus",NA,4,11
"Siren intermedia",0.164383561643836,2,25.7
"Siren lacertina",NA,NA,25
"Dermophis mexicanus",NA,NA,13.8
"Typhlonectes compressicauda",NA,NA,4.9
"Typhlonectes natans",NA,NA,NA
"Ichthyophis kohtaoensis",NA,NA,7.3
"Accipiter cooperii",0.0657534246575342,2,20.3
"Accipiter gentilis",0.0904109589041096,1.5,22
"Accipiter nisus",NA,1,20.2
"Accipiter striatus",0.0931506849315069,1,19.9
"Aegypius monachus",NA,NA,39
"Aquila adalberti",NA,NA,44.5
"Aquila audax",NA,NA,40
"Aquila chrysaetos",0.10958904109589,4,48
"Aquila fasciata",NA,NA,20
"Aquila heliaca",NA,NA,56
"Aquila nipalensis",NA,NA,41
"Aquila pomarina",NA,NA,26.1
"Aquila rapax",NA,NA,40.3
"Butastur indicus",NA,NA,8.5
"Buteo buteo",NA,2,28.8
"Buteo jamaicensis",0.0849315068493151,2,30.7
"Buteo lagopus",0.0794520547945206,2,18.8
"Buteo lineatus",0.0904109589041096,1,22.4
"Buteo platypterus",0.0684931506849315,1,18.3
"Buteo regalis",0.0876712328767123,2,23.7
"Buteo rufinus",NA,NA,NA
"Buteo solitarius",0.104109589041096,NA,17
"Buteo swainsoni",0.0849315068493151,2,24.9
"Buteogallus anthracinus",0.104109589041096,2,13.5
"Circaetus cinereus",NA,NA,NA
"Circaetus gallicus",NA,3,17.3
"Circus aeruginosus",NA,2,20.1
"Circus cyaneus",0.0849315068493151,1,17.1
"Circus macrourus",NA,NA,13.5
"Circus pygargus",NA,2,16.3
"Elanus caeruleus",NA,NA,6
"Elanus leucurus",0.0821917808219178,NA,6
"Geranoaetus melanoleucus",NA,NA,42
"Gypaetus barbatus",NA,NA,40
"Gypohierax angolensis",NA,NA,27.1
"Gyps africanus",NA,NA,19.7
"Gyps bengalensis",NA,NA,NA
"Gyps fulvus",NA,4,41.4
"Haliaeetus albicilla",0.112328767123288,4,42
"Haliaeetus leucocephalus",0.0958904109589041,4,48
"Harpia harpyja",NA,NA,16.8
"Harpyopsis novaeguineae",NA,NA,30
"Hieraaetus morphnoides",NA,NA,10.3
"Ictinia mississippiensis",0.0849315068493151,1,11.2
"Kaupifalco monogrammicus",NA,NA,8.6
"Lophoictinia isura",NA,NA,17
"Milvus migrans",NA,3,24
"Milvus milvus",NA,3,38
"Neophron percnopterus",NA,NA,37
"Parabuteo unicinctus",0.0931506849315069,1,25
"Pernis apivorus",NA,3,29
"Pithecophaga jefferyi",0.172602739726027,6,41
"Rostrhamus sociabilis",0.0821917808219178,1,17
"Terathopius ecaudatus",NA,NA,55
"Cathartes aura",0.106849315068493,11,20.8
"Coragyps atratus",0.0958904109589041,8,25.5
"Gymnogyps californianus",0.156164383561644,6,45
"Sarcoramphus papa",0.156164383561644,NA,40
"Vultur gryphus",0.153424657534247,7,79
"Pandion haliaetus",0.104109589041096,3,32
"Aix galericulata",0.0794520547945206,NA,10.4
"Aix sponsa",0.0849315068493151,1,22.5
"Alopochen aegyptiaca",0.0794520547945206,2,25.5
"Anas acuta",0.0602739726027397,0.657534246575342,27.4
"Anas americana",0.063013698630137,1,21.3
"Anas bahamensis",NA,NA,NA
"Anas clypeata",0.063013698630137,0.657534246575342,22.6
"Anas crecca",0.0602739726027397,0.493150684931507,27.1
"Anas cyanoptera",0.063013698630137,1,12.9
"Anas discors",0.0657534246575342,0.657534246575342,23.2
"Anas fulvigula",0.0712328767123288,1,20
"Anas laysanensis",0.0767123287671233,1,12
"Anas penelope",0.0657534246575342,1,35.2
"Anas platyrhynchos",0.0712328767123288,1,29.1
"Anas querquedula",NA,1,14.7
"Anas rubripes",0.0767123287671233,1,26.6
"Anas strepera",0.0712328767123288,0.657534246575342,28
"Anser albifrons",0.073972602739726,3,47
"Anser anser",NA,3,31
"Anser brachyrhynchus",NA,3,40.9
"Anser fabalis",0.0767123287671233,3,25.6
"Aythya affinis",0.0657534246575342,1,18.3
"Aythya americana",0.0712328767123288,1,22.6
"Aythya collaris",0.073972602739726,1,20.4
"Aythya ferina",NA,1,23.2
"Aythya fuligula",NA,1,45.2
"Aythya marila",0.0712328767123288,1,22.1
"Aythya valisineria",0.0657534246575342,0.657534246575342,29.5
"Branta bernicla",0.0657534246575342,2,28.8
"Branta canadensis",0.0712328767123288,2,42
"Branta hutchinsii",NA,NA,18.3
"Branta leucopsis",NA,2,28.2
"Branta sandvicensis",0.0821917808219178,2.24931506849315,42
"Bucephala albeola",0.0821917808219178,2,18.7
"Bucephala clangula",0.0821917808219178,2,18.4
"Bucephala islandica",0.0794520547945206,2,18
"Callonetta leucophrys",NA,1,NA
"Cereopsis novaehollandiae",NA,NA,28.1
"Chen caerulescens",0.0657534246575342,2,27.5
"Chen canagica",0.0657534246575342,1,12
"Chen rossii",0.0575342465753425,1.56164383561644,22.5
"Clangula hyemalis",0.0657534246575342,2,22.7
"Cygnus atratus",NA,2.24931506849315,NA
"Cygnus buccinator",0.0958904109589041,2,32.5
"Cygnus columbianus",0.0849315068493151,2,24.1
"Cygnus cygnus",NA,4,26.5
"Cygnus olor",0.0986301369863014,3,70
"Dendrocygna autumnalis",0.073972602739726,1,8.2
"Dendrocygna bicolor",0.0684931506849315,1,11.2
"Dendrocygna viduata",0.073972602739726,NA,12
"Histrionicus histrionicus",0.0767123287671233,1,14.6
"Lophodytes cucullatus",0.0849315068493151,2,15.7
"Melanitta fusca",0.0767123287671233,2,21.4
"Melanitta nigra",0.0794520547945206,2,16.8
"Melanitta perspicillata",NA,2,9.5
"Mergellus albellus",NA,NA,10
"Mergus merganser",0.0821917808219178,2,14.8
"Mergus serrator",0.0876712328767123,2,21.3
"Netta rufina",NA,1,8.8
"Oxyura australis",NA,NA,16
"Oxyura jamaicensis",0.063013698630137,1,13.6
"Plectropterus gambensis",NA,NA,11.3
"Polysticta stelleri",0.0712328767123288,2,23
"Somateria fischeri",NA,2,18
"Somateria mollissima",0.0767123287671233,2,37.8
"Somateria spectabilis",0.063013698630137,2,18.9
"Tadorna tadorna",NA,2,24.8
"Aeronautes saxatalis",0.0657534246575342,NA,10
"Apus apus",NA,2,21.1
"Apus melba",NA,2,26
"Chaetura pelagica",0.0547945205479452,1,15
"Chaetura vauxi",0.0520547945205479,1,NA
"Cypseloides niger",0.0657534246575342,1,16.1
"Amazilia violiceps",NA,NA,6.1
"Amazilia yucatanensis",NA,NA,11.2
"Archilochus alexandri",NA,1,11.2
"Archilochus colubris",0.0356164383561644,1,9.1
"Calothorax lucifer",0.0410958904109589,NA,4.1
"Calypte anna",0.0438356164383562,1,8.5
"Calypte costae",0.0438356164383562,NA,6
"Cynanthus latirostris",0.0465753424657534,1,8.8
"Eugenes fulgens",0.0383561643835616,1,11
"Lampornis clemenciae",0.0493150684931507,1,12
"Lamprolaima rhami",NA,NA,8
"Selasphorus platycercus",0.0438356164383562,1,14
"Selasphorus rufus",0.0438356164383562,1,8.9
"Selasphorus sasin",0.0438356164383562,2,NA
"Stellula calliope",0.0410958904109589,1,7
"Apteryx australis",0.205479452054795,NA,35
"Buceros bicornis",NA,NA,33.4
"Bycanistes subcylindricus",NA,NA,31.8
"Ceratogymna atrata",NA,NA,19.3
"Bucorvus leadbeateri",NA,NA,70
"Upupa epops",NA,1,11.1
"Caprimulgus carolinensis",0.0547945205479452,NA,14.8
"Caprimulgus europaeus",NA,1,11.9
"Caprimulgus ruficollis",NA,NA,13.2
"Caprimulgus vociferus",0.0520547945205479,NA,15
"Chordeiles minor",0.0520547945205479,NA,10
"Phalaenoptilus nuttallii",0.0547945205479452,1,NA
"Casuarius bennetti",NA,NA,26
"Casuarius casuarius",NA,NA,30
"Casuarius unappendiculatus",NA,NA,22
"Dromaius novaehollandiae",NA,NA,16.6
"Aethia cristatella",0.0931506849315069,3,10.8
"Aethia pusilla",0.0821917808219178,3,8.1
"Aethia pygmaea",NA,3,15
"Alca torda",0.0986301369863014,4,42
"Brachyramphus marmoratus",NA,2,10
"Cepphus columba",0.0849315068493151,3,15.2
"Cepphus grylle",0.0684931506849315,3,29.9
"Cerorhinca monocerata",0.123287671232877,3,28.2
"Fratercula arctica",0.115068493150685,4,40.8
"Ptychoramphus aleuticus",NA,2,16.2
"Synthliboramphus antiquus",0.0904109589041096,2,NA
"Synthliboramphus hypoleucus",0.0931506849315069,2,15
"Uria aalge",0.0849315068493151,5,42.8
"Uria lomvia",0.0904109589041096,5.4013698630137,29
"Burhinus oedicnemus",NA,NA,17.9
"Charadrius alexandrinus",0.0657534246575342,0.878082191780822,19
"Charadrius dubius",NA,2,13
"Charadrius hiaticula",NA,1,20.8
"Charadrius melodus",0.0767123287671233,1,14
"Charadrius montanus",NA,1,10
"Charadrius morinellus",NA,NA,11.8
"Charadrius semipalmatus",0.0657534246575342,2.4986301369863,9.2
"Charadrius vociferus",0.0657534246575342,1,10.9
"Pluvialis apricaria",NA,2,12.8
"Pluvialis dominica",0.0712328767123288,1,13
"Pluvialis fulva",NA,1,21.3
"Pluvialis squatarola",0.073972602739726,2,25.6
"Vanellus armatus",0.0794520547945206,NA,18.6
"Vanellus spinosus",NA,NA,17
"Vanellus vanellus",0.0657534246575342,2,24.5
"Haematopus bachmani",0.0712328767123288,5,16
"Haematopus ostralegus",NA,3,43.3
"Haematopus palliatus",0.073972602739726,3,17
"Anous minutus",0.0931506849315069,2,27.1
"Anous stolidus",0.0958904109589041,3.5,26.2
"Chlidonias niger",0.0575342465753425,2,21
"Chroicocephalus genei",NA,2,31.7
"Chroicocephalus ridibundus",0.0602739726027397,2,32.9
"Gelochelidon nilotica",0.0602739726027397,5,16
"Gygis alba",0.0986301369863014,4.83287671232877,35.9
"Hydrocoloeus minutus",0.0575342465753425,2,20.9
"Hydroprogne caspia",0.0575342465753425,3,30
"Ichthyaetus audouinii",NA,3,20.9
"Ichthyaetus ichthyaetus",NA,3,NA
"Ichthyaetus melanocephalus",NA,3,22.1
"Larosterna inca",0.0767123287671233,NA,26
"Larus argentatus",0.0712328767123288,4.5,49
"Larus cachinnans",NA,4,31.9
"Larus californicus",0.0684931506849315,3,30
"Larus canus",0.063013698630137,2.5,33.7
"Larus delawarensis",0.0575342465753425,2,31.8
"Larus fuscus",NA,4,34.9
"Larus glaucescens",0.073972602739726,NA,32
"Larus glaucoides",0.0684931506849315,4,33
"Larus heermanni",NA,NA,24
"Larus hyperboreus",0.073972602739726,4,21.1
"Larus marinus",0.073972602739726,5,29.2
"Larus michahellis",NA,NA,19.2
"Larus occidentalis",0.073972602739726,4.5,33.9
"Larus pacificus",NA,NA,14.5
"Leucophaeus atricilla",0.0657534246575342,NA,22
"Leucophaeus pipixcan",0.0657534246575342,2,NA
"Onychoprion anaethetus",NA,NA,17.9
"Onychoprion fuscatus",0.0767123287671233,4,35.8
"Onychoprion lunatus",NA,5,25.8
"Pagophila eburnea",0.0684931506849315,2,23.9
"Procelsterna cerulea",NA,NA,15
"Rissa brevirostris",NA,NA,27
"Rissa tridactyla",0.073972602739726,4,28.5
"Rynchops niger",0.063013698630137,2,20.2
"Sterna dougallii",0.063013698630137,3,25.7
"Sterna forsteri",0.063013698630137,2,15.8
"Sterna hirundo",0.0657534246575342,3,33
"Sterna paradisaea",0.0575342465753425,3,34
"Sternula albifrons",0.0575342465753425,2,23.9
"Sternula antillarum",0.0575342465753425,3,24.1
"Thalasseus elegans",0.0712328767123288,3,20.9
"Thalasseus maximus",0.0767123287671233,3,28.6
"Thalasseus sandvicensis",0.0602739726027397,3,30.8
"Himantopus himantopus",NA,NA,10.2
"Himantopus mexicanus",0.0684931506849315,1,19.1
"Recurvirostra americana",0.0657534246575342,1,NA
"Recurvirostra avosetta",NA,2,27.8
"Actitis hypoleucos",NA,1,14.5
"Actitis macularius",0.0547945205479452,1,12
"Arenaria interpres",0.0602739726027397,2,22.3
"Bartramia longicauda",0.0602739726027397,NA,8.9
"Calidris alba",0.073972602739726,2,18.6
"Calidris alpina",0.0575342465753425,2,28.8
"Calidris canutus",0.0602739726027397,3,27.3
"Calidris ferruginea",NA,3,19.7
"Calidris fuscicollis",0.0602739726027397,1,NA
"Calidris himantopus",NA,2,11.1
"Calidris maritima",0.0602739726027397,3,20.8
"Calidris mauri",0.0575342465753425,2,9.2
"Calidris melanotos",0.0602739726027397,1,NA
"Calidris minuta",NA,2,14.7
"Calidris minutilla",0.0547945205479452,1,16
"Calidris ptilocnemis",0.0547945205479452,1,NA
"Calidris pusilla",0.0547945205479452,1,19.3
"Calidris temminckii",NA,NA,12.9
"Gallinago delicata",NA,NA,9.2
"Gallinago gallinago",0.0520547945205479,1,18.2
"Limicola falcinellus",NA,NA,6.8
"Limnodromus griseus",0.0575342465753425,1,13.3
"Limnodromus scolopaceus",0.0547945205479452,NA,13.2
"Limosa fedoa",0.0657534246575342,3,13.7
"Limosa lapponica",0.0575342465753425,2,34
"Limosa limosa",NA,2,23.6
"Lymnocryptes minimus",NA,1,12.3
"Numenius arquata",NA,2,31.8
"Numenius phaeopus",0.0602739726027397,2,24.2
"Numenius tahitiensis",NA,2.91780821917808,23.8
"Phalaropus lobatus",NA,1,12.9
"Phalaropus tricolor",0.063013698630137,NA,10
"Philomachus pugnax",NA,2,13.9
"Scolopax minor",0.0547945205479452,0.821917808219178,20.9
"Scolopax rusticola",NA,1,15.5
"Tringa erythropus",NA,1,8.6
"Tringa flavipes",0.063013698630137,1,NA
"Tringa glareola",NA,1,11.6
"Tringa nebularia",NA,1,24.4
"Tringa ochropus",NA,1,11.5
"Tringa semipalmata",0.0602739726027397,2,12.6
"Tringa stagnatilis",NA,NA,7.1
"Tringa totanus",NA,1,26.9
"Xenus cinereus",NA,NA,16
"Stercorarius antarcticus",NA,NA,28.8
"Stercorarius longicaudus",0.063013698630137,NA,14
"Stercorarius maccormicki",NA,NA,23.5
"Stercorarius parasiticus",0.0712328767123288,3.28767123287671,31.1
"Stercorarius skua",NA,6,34.5
"Anastomus lamelligerus",NA,NA,NA
"Anastomus oscitans",NA,NA,18
"Ciconia abdimii",NA,NA,21.6
"Ciconia boyciana",NA,NA,48.1
"Ciconia ciconia",0.0904109589041096,4,39
"Ciconia episcopus",NA,NA,30.2
"Ciconia maguari",NA,NA,20.4
"Ciconia nigra",NA,NA,31.3
"Ephippiorhynchus asiaticus",NA,NA,34
"Ephippiorhynchus senegalensis",NA,NA,30.2
"Jabiru mycteria",NA,NA,27.4
"Leptoptilos crumeniferus",0.0821917808219178,4,44.7
"Leptoptilos dubius",NA,NA,43
"Leptoptilos javanicus",NA,NA,31.1
"Mycteria americana",0.0821917808219178,4,27
"Mycteria cinerea",NA,NA,12.4
"Mycteria ibis",NA,NA,19.1
"Mycteria leucocephala",NA,NA,28.6
"Colius striatus",0.0383561643835616,NA,11.5
"Caloenas nicobarica",0.0465753424657534,NA,20.5
"Columba livia",0.0493150684931507,0.383561643835616,35
"Columba oenas",NA,1,12.6
"Columba palumbus",NA,1,17.7
"Columbina inca",0.0383561643835616,NA,13.3
"Columbina passerina",0.0356164383561644,0.205479452054795,7.2
"Geopelia striata",NA,NA,14
"Leptotila verreauxi",0.0383561643835616,NA,8.6
"Leucosarcia melanoleuca",NA,NA,16.3
"Patagioenas fasciata",0.0520547945205479,1,18.5
"Patagioenas leucocephala",NA,1,14.4
"Streptopelia chinensis",0.0410958904109589,NA,9.8
"Streptopelia decaocto",0.0410958904109589,1,17.9
"Streptopelia risoria",NA,NA,12
"Streptopelia turtur",NA,1,13.2
"Zenaida asiatica",0.0356164383561644,1,25
"Zenaida aurita",NA,NA,NA
"Zenaida macroura",0.0383561643835616,0.232876712328767,31.3
"Alcedo atthis",NA,1,21
"Ceryle rudis",NA,NA,3.9
"Chloroceryle americana",NA,NA,5
"Dacelo novaeguineae",0.0684931506849315,1,26.8
"Halcyon smyrnensis",NA,NA,5.5
"Coracias benghalensis",NA,NA,8.9
"Coracias caudatus",0.0575342465753425,NA,13.7
"Coracias garrulus",NA,NA,9.2
"Merops apiaster",NA,1,5.9
"Merops bullockoides",NA,NA,7
"Momotus mexicanus",NA,NA,10.4
"Momotus momota",0.0575342465753425,NA,20.3
"Todus mexicanus",NA,NA,12.6
"Coccyzus americanus",0.0383561643835616,1,5
"Coccyzus erythropthalmus",0.0383561643835616,1,5
"Cuculus canorus",NA,1,12.9
"Geococcyx californianus",0.0547945205479452,1,9
"Saurothera vieilloti",NA,NA,7.6
"Eurypyga helias",0.073972602739726,NA,15
"Caracara cheriway",0.0876712328767123,NA,25.8
"Caracara plancus",NA,NA,37.6
"Falco berigora",NA,NA,24
"Falco cherrug",NA,NA,15.9
"Falco columbarius",0.0821917808219178,1,12.7
"Falco eleonorae",NA,NA,11.2
"Falco femoralis",0.0876712328767123,NA,12
"Falco mexicanus",0.0849315068493151,1,17.2
"Falco naumanni",NA,1,10.9
"Falco peregrinus",0.0821917808219178,1,25
"Falco punctatus",NA,NA,10
"Falco rupicoloides",NA,NA,NA
"Falco rusticolus",0.0958904109589041,2,13.5
"Falco sparverius",0.0794520547945206,1,17
"Falco subbuteo",NA,1,14.9
"Falco tinnunculus",NA,1,23.8
"Falco vespertinus",NA,NA,13.2
"Crax globulosa",NA,NA,20
"Crax rubra",NA,NA,24
"Mitu tuberosum",NA,NA,23
"Ortalis vetula",0.063013698630137,1,8.8
"Alectura lathami",NA,NA,12.5
"Macrocephalon maleo",NA,NA,23
"Numida meleagris",0.073972602739726,NA,NA
"Callipepla californica",0.0602739726027397,0.750684931506849,9.6
"Callipepla gambelii",0.0602739726027397,1,7.4
"Colinus virginianus",0.063013698630137,1,6.4
"Alectoris rufa",NA,NA,6.2
"Bonasa umbellus",0.0657534246575342,0.328767123287671,11
"Centrocercus urophasianus",0.0712328767123288,1,7
"Chrysolophus amherstiae",0.0657534246575342,NA,19.6
"Chrysolophus pictus",0.0602739726027397,1,13.4
"Coturnix chinensis",NA,NA,5
"Coturnix coturnix",NA,1,14.6
"Coturnix japonica",0.0465753424657534,0.157534246575342,6
"Dendragapus obscurus",0.0712328767123288,1,14
"Falcipennis canadensis",0.0547945205479452,1,13
"Francolinus francolinus",0.0520547945205479,NA,7
"Francolinus pondicerianus",0.0493150684931507,NA,8
"Gallus gallus",NA,NA,30
"Lagopus lagopus",0.0575342465753425,1,9
"Lagopus leucura",0.063013698630137,1,15
"Lagopus muta",NA,NA,NA
"Lyrurus tetrix",NA,1,12.2
"Meleagris gallopavo",0.0767123287671233,0.916438356164384,13
"Pavo cristatus",0.0794520547945206,2,23.2
"Perdix perdix",0.0657534246575342,1,5.2
"Phasianus colchicus",0.0657534246575342,0.657534246575342,27
"Polyplectron napoleonis",0.0520547945205479,1.5,15
"Syrmaticus reevesii",NA,NA,9.2
"Tetrao urogallus",NA,3,18
"Tetrastes bonasia",NA,NA,7.2
"Tympanuchus cupido",0.063013698630137,0.750684931506849,5
"Tympanuchus pallidicinctus",0.063013698630137,0.750684931506849,13.5
"Tympanuchus phasianellus",0.063013698630137,0.493150684931507,7.5
"Gavia adamsii",NA,3,NA
"Gavia arctica",0.0794520547945206,3,28
"Gavia immer",0.0767123287671233,4.0027397260274,24.1
"Gavia stellata",0.0767123287671233,3,24
"Anthropoides virgo",0.0767123287671233,2,27
"Balearica regulorum",0.0821917808219178,3,27.2
"Grus americana",0.0849315068493151,4,40
"Grus antigone",0.0876712328767123,NA,41.8
"Grus canadensis",0.0794520547945206,3,36.6
"Grus grus",NA,5,43
"Grus japonensis",0.0849315068493151,3,25.2
"Grus leucogeranus",NA,NA,36.2
"Grus monacha",NA,2.84931506849315,24
