CpG_Site,Coefficient,Mean_Beta_Value,Predictor
cg07504977,-0.053131083,0.306406061,Adiponectin
cg23814743,0.036250521,0.311779908,Adiponectin
cg08685733,0.002238415,0.345815883,Adiponectin
cg10950358,-0.007628889,0.371769814,Adiponectin
cg09469355,0.006374516,0.378543266,Adiponectin
cg12068280,-0.015874317,0.378648814,Adiponectin
cg26744682,-0.00483524,0.480525157,Adiponectin
cg06500161,-0.072518875,0.486511073,Adiponectin
cg07628841,0.019730613,0.522310552,Adiponectin
cg00472758,-0.022056276,0.557279686,Adiponectin
cg13723431,-3.04686e-4,0.563077821,Adiponectin
cg00210249,-0.005097715,0.583997274,Adiponectin
cg19750657,-0.019097527,0.62696764,Adiponectin
cg04946709,-0.004923978,0.643663601,Adiponectin
cg03172931,-0.021057859,0.655892833,Adiponectin
cg03618918,-0.05897069,0.661355894,Adiponectin
cg18049474,0.006155405,0.666892742,Adiponectin
cg27264390,0.002040559,0.668801291,Adiponectin
cg12086806,0.004978336,0.711969015,Adiponectin
cg06690548,0.002220059,0.74974841,Adiponectin
cg08370839,0.006890571,0.769607773,Adiponectin
cg11643285,0.116583205,0.771938087,Adiponectin
cg15089217,-0.034262824,0.811462189,Adiponectin
cg08438920,-0.006058459,0.829927307,Adiponectin
cg21913775,-0.011773451,0.847074091,Adiponectin
cg26734215,-0.002949452,0.856830672,Adiponectin
cg15716707,-0.001812968,0.029933971,Afamin
cg09635784,-0.001667003,0.032080799,Afamin
cg11868916,-0.023944919,0.032353813,Afamin
cg00224299,0.007322907,0.055157913,Afamin
cg09864156,-0.003664818,0.055814937,Afamin
cg26870725,0.011145459,0.05644919,Afamin
cg00574958,-0.043462469,0.069615669,Afamin
cg11252953,0.004388993,0.081467532,Afamin
cg22222999,0.009942426,0.126156035,Afamin
cg15756114,0.014718139,0.27539401,Afamin
cg03607951,7.27572e-4,0.404586765,Afamin
cg17038235,0.001459824,0.431863062,Afamin
cg08973382,-0.004166553,0.433721432,Afamin
cg06500161,0.006762483,0.486511073,Afamin
cg16988970,-0.008955709,0.501168541,Afamin
cg08371947,0.009334617,0.504288721,Afamin
cg00935421,0.022827256,0.538458692,Afamin
cg25009141,0.007781408,0.549898653,Afamin
cg22798214,-0.013805744,0.558208196,Afamin
cg25792439,0.002800518,0.588345978,Afamin
cg10851168,-0.012215421,0.633385612,Afamin
cg19693031,-0.011496083,0.633654885,Afamin
cg23661483,0.001875461,0.634125029,Afamin
cg23304156,-0.005231517,0.638083788,Afamin
cg27546431,0.008768356,0.649471697,Afamin
cg00784161,0.014632963,0.672807874,Afamin
cg26688191,0.00269369,0.676132515,Afamin
cg27409802,-3.68111e-4,0.69008598,Afamin
cg03916364,8.57e-6,0.716493076,Afamin
cg21599081,-0.007566674,0.736967547,Afamin
cg22828990,-4.62577e-4,0.739502056,Afamin
cg13376246,-0.013497256,0.740740891,Afamin
cg22871175,0.001233035,0.784259835,Afamin
cg11892946,-0.012863492,0.800588938,Afamin
cg25547939,-0.001223758,0.832849885,Afamin
cg27055236,0.002039544,0.866728124,Afamin
cg09830278,-1.02384e-4,0.90766502,Afamin
cg17470837,-0.009618934,0.025004088,Alpha-L-iduronidase
cg07596209,-0.00553507,0.026286313,Alpha-L-iduronidase
cg05867423,-0.002223574,0.028545562,Alpha-L-iduronidase
cg21244397,-3.25491e-4,0.029965059,Alpha-L-iduronidase
cg11968436,0.002344793,0.0301701,Alpha-L-iduronidase
cg10663781,0.001258382,0.031122583,Alpha-L-iduronidase
cg07015725,0.006986319,0.03136172,Alpha-L-iduronidase
cg02302400,0.00137781,0.032295802,Alpha-L-iduronidase
cg03359285,-0.005602687,0.032740018,Alpha-L-iduronidase
cg04393897,-7.25389e-4,0.033220129,Alpha-L-iduronidase
cg16253537,0.011281629,0.033741724,Alpha-L-iduronidase
cg26382075,-0.003109217,0.03552348,Alpha-L-iduronidase
cg17872853,0.003571605,0.038051483999999997,Alpha-L-iduronidase
cg20521715,0.011875018,0.038614505,Alpha-L-iduronidase
cg18417464,-0.005820209,0.03868628,Alpha-L-iduronidase
cg13138952,0.004067884,0.041970249,Alpha-L-iduronidase
cg15291304,-0.003602857,0.042699562,Alpha-L-iduronidase
cg01082111,-0.002150098,0.043629004,Alpha-L-iduronidase
cg02976568,-0.005906768,0.046956961,Alpha-L-iduronidase
cg18681998,3.34466e-4,0.047342631,Alpha-L-iduronidase
cg15002204,-0.014769374,0.050997514,Alpha-L-iduronidase
cg01006077,0.001441468,0.056613529,Alpha-L-iduronidase
cg23218943,0.00673142,0.063075881,Alpha-L-iduronidase
cg01225698,-0.002997272,0.095301245,Alpha-L-iduronidase
cg06321998,0.011273314,0.110755451,Alpha-L-iduronidase
cg06215416,-0.003431233,0.364846813,Alpha-L-iduronidase
cg01572696,0.05416581,0.388510696,Alpha-L-iduronidase
cg18745416,0.008352593,0.4711573,Alpha-L-iduronidase
cg04058237,-0.01911077,0.491850287,Alpha-L-iduronidase
cg07283582,0.012022296,0.518887486,Alpha-L-iduronidase
cg19795235,-0.008547018,0.57178689,Alpha-L-iduronidase
cg00433296,0.005764126,0.62382329,Alpha-L-iduronidase
cg23847262,-0.013619728,0.63052172,Alpha-L-iduronidase
cg10188410,-0.022969357,0.655283693,Alpha-L-iduronidase
cg10310682,0.007649109,0.708709212,Alpha-L-iduronidase
cg00090282,-0.012693139,0.732352213,Alpha-L-iduronidase
cg10389148,-0.008187845,0.744194456,Alpha-L-iduronidase
cg21561989,0.002037519,0.744460774,Alpha-L-iduronidase
cg17271146,-0.005369173,0.745299169,Alpha-L-iduronidase
cg25946681,8.48347e-4,0.751344066,Alpha-L-iduronidase
cg25225607,0.002074227,0.755617692,Alpha-L-iduronidase
cg01330741,0.005845302,0.768527224,Alpha-L-iduronidase
cg16461248,0.008948038,0.770531697,Alpha-L-iduronidase
cg06444374,0.007867882,0.775207248,Alpha-L-iduronidase
cg26528531,0.004951923,0.787942557,Alpha-L-iduronidase
cg05840707,-0.005296231,0.79864135,Alpha-L-iduronidase
cg06312132,0.006541112,0.805408051,Alpha-L-iduronidase
cg21616051,0.037747636,0.811419028,Alpha-L-iduronidase
cg00121465,0.008050026,0.81868141,Alpha-L-iduronidase
cg08530934,0.002333514,0.825754262,Alpha-L-iduronidase
cg18639734,0.006909131,0.829172563,Alpha-L-iduronidase
cg25688164,0.00194914,0.843795259,Alpha-L-iduronidase
cg16547271,0.00760299,0.846025916,Alpha-L-iduronidase
cg16067628,0.004539238,0.847021167,Alpha-L-iduronidase
cg05608511,0.006118092,0.848690147,Alpha-L-iduronidase
cg26914616,0.010442444,0.855750167,Alpha-L-iduronidase
cg04198323,0.00658277,0.856826329,Alpha-L-iduronidase
cg10822339,0.01136426,0.858510466,Alpha-L-iduronidase
cg24226891,0.002062174,0.866081379,Alpha-L-iduronidase
cg14538437,0.003864135,0.875023244,Alpha-L-iduronidase
cg23969508,0.010350278,0.876664219,Alpha-L-iduronidase
cg14128173,0.001988778,0.877289119,Alpha-L-iduronidase
cg25769980,0.02188826,0.879218469,Alpha-L-iduronidase
cg04389439,0.007198936,0.883008638,Alpha-L-iduronidase
cg01335785,-0.03742648,0.941336614,Alpha-L-iduronidase
cg21770322,5.71139e-4,0.941836358,Alpha-L-iduronidase
cg13766489,-3.82864e-4,0.971712001,Alpha-L-iduronidase
cg25713821,0.001105368,0.017421616,Aminoacylase-1
cg00464056,0.028183767,0.019492954,Aminoacylase-1
cg13475699,0.0021981,0.021846326,Aminoacylase-1
cg19724668,-0.001664641,0.021931459,Aminoacylase-1
cg05078106,-0.015279421,0.022773377,Aminoacylase-1
cg27141898,0.002256098,0.023937907,Aminoacylase-1
cg11665564,-0.008176063,0.024031768,Aminoacylase-1
cg17801268,-0.024845875,0.02497205,Aminoacylase-1
cg22648811,-0.008447266,0.025517067,Aminoacylase-1
cg16051558,0.008209505,0.026025231,Aminoacylase-1
cg07210263,0.008000244,0.026683652,Aminoacylase-1
cg21220719,-0.004090475,0.027251804,Aminoacylase-1
cg07312579,0.005410546,0.027551883,Aminoacylase-1
cg03338682,-0.006412968,0.027756707,Aminoacylase-1
cg22717114,-0.008645317,0.027838858,Aminoacylase-1
cg12740527,-0.031732926,0.028302392,Aminoacylase-1
cg01062980,0.012729639,0.029293911,Aminoacylase-1
cg11980147,-7.49664e-4,0.029545641,Aminoacylase-1
cg14784608,0.012436239,0.03033988,Aminoacylase-1
cg24888187,-0.015937948,0.030630785,Aminoacylase-1
cg03282932,0.005342408,0.030783944,Aminoacylase-1
cg19941370,-0.001503362,0.030836202,Aminoacylase-1
cg23329752,-0.014056148,0.031558308,Aminoacylase-1
cg09316894,0.015430159,0.032052424,Aminoacylase-1
cg17878935,0.001316794,0.032167878,Aminoacylase-1
cg10008970,0.021338671,0.032480465,Aminoacylase-1
cg08635685,0.004961114,0.033664928,Aminoacylase-1
cg26360121,0.005284559,0.034039384,Aminoacylase-1
cg15565319,0.001910495,0.034242522,Aminoacylase-1
cg06948825,0.004298059,0.034360423,Aminoacylase-1
cg21870469,0.00450755,0.034556775,Aminoacylase-1
cg01556502,-0.023351019,0.034682772,Aminoacylase-1
cg03053893,-0.016553053,0.035247137,Aminoacylase-1
cg12365451,-1.98e-6,0.035284032,Aminoacylase-1
cg00720137,0.021319605,0.035438189,Aminoacylase-1
cg21640038,0.01606987,0.03551111,Aminoacylase-1
cg09158314,0.008451891,0.035806519,Aminoacylase-1
cg04730319,0.013897296,0.03602294,Aminoacylase-1
cg21965820,0.014853571,0.037008248,Aminoacylase-1
cg23026246,0.004751191,0.037495902,Aminoacylase-1
cg23991274,-0.001533209,0.038029835,Aminoacylase-1
cg00827989,0.021067368,0.038380416,Aminoacylase-1
cg00949511,0.00695261,0.038430061,Aminoacylase-1
cg13767294,-0.01084202,0.038569667,Aminoacylase-1
cg20163532,0.00136786,0.038838606,Aminoacylase-1
cg22663080,9.50957e-4,0.039314316,Aminoacylase-1
cg09400194,-7.93475e-4,0.039809553,Aminoacylase-1
cg16579225,0.001061284,0.039812777,Aminoacylase-1
cg11632419,1.36904e-4,0.039816298,Aminoacylase-1
cg01911191,0.009934635,0.040256202,Aminoacylase-1
cg27068330,-0.008406378,0.040313883,Aminoacylase-1
cg03938580,7.318e-4,0.040472419,Aminoacylase-1
cg05076167,-0.005166463,0.040708813,Aminoacylase-1
cg17182817,0.005605167,0.041168244,Aminoacylase-1
cg09222287,0.002448542,0.041234593,Aminoacylase-1
cg08820497,0.004866031,0.041443585,Aminoacylase-1
cg05278442,-0.013299604,0.041452499,Aminoacylase-1
cg13801381,0.002662908,0.041686664,Aminoacylase-1
cg05495949,-0.005791279,0.041849805,Aminoacylase-1
cg10847032,-0.001564322,0.041888734,Aminoacylase-1
cg13138952,0.034455537,0.041970249,Aminoacylase-1
cg12045337,-0.007427629,0.042140983,Aminoacylase-1
cg18035301,0.02706744,0.042142504,Aminoacylase-1
cg25125898,0.005713164,0.042291121,Aminoacylase-1
cg02636222,-0.012785041,0.042469293,Aminoacylase-1
cg02998278,-0.02614708,0.042835482,Aminoacylase-1
cg00765312,0.006437447,0.043429385,Aminoacylase-1
cg17554472,-1.41495e-4,0.043641695,Aminoacylase-1
cg04943661,4.96042e-4,0.044041133,Aminoacylase-1
cg14097373,0.007911118,0.044481146,Aminoacylase-1
cg11861043,0.002497549,0.044764884,Aminoacylase-1
cg13524873,-4.24623e-4,0.045111893,Aminoacylase-1
cg08736446,0.002345046,0.045544722,Aminoacylase-1
cg21194937,0.017671657,0.046733079,Aminoacylase-1
cg22977667,0.009955816,0.046787016,Aminoacylase-1
cg05538266,0.02399077,0.04746115,Aminoacylase-1
cg27347290,0.004065904,0.047922821,Aminoacylase-1
cg26146542,0.003424236,0.048133329,Aminoacylase-1
cg09767602,-0.014408975,0.048243386,Aminoacylase-1
cg26274580,-0.003582274,0.04869318,Aminoacylase-1
cg18119863,-0.00483864,0.049354706,Aminoacylase-1
cg15569052,-0.008397596,0.049494299,Aminoacylase-1
cg03427576,0.001058467,0.049738633,Aminoacylase-1
cg08322240,-0.001335771,0.050701613,Aminoacylase-1
cg15504747,0.009317771,0.051181805,Aminoacylase-1
cg03819783,-0.011470358,0.051626141,Aminoacylase-1
cg03123608,-0.009903172,0.05181707,Aminoacylase-1
cg12972062,-0.002208243,0.052071715,Aminoacylase-1
cg04306007,0.015014781,0.052752073,Aminoacylase-1
cg07590196,-0.003125517,0.052753558,Aminoacylase-1
cg14416559,0.005227098,0.052852104,Aminoacylase-1
cg02314091,0.001474489,0.052945968,Aminoacylase-1
cg23413066,0.001037517,0.054052892,Aminoacylase-1
cg26283879,-0.001131936,0.054288449,Aminoacylase-1
cg16443970,0.027907197,0.054709645,Aminoacylase-1
cg12105450,0.008063469,0.055267586,Aminoacylase-1
cg02069999,-0.010951961,0.055583956,Aminoacylase-1
cg16270819,2.92059e-4,0.056124824,Aminoacylase-1
cg12190322,-0.00512728,0.056780769,Aminoacylase-1
cg00857998,0.014359282,0.061940331,Aminoacylase-1
cg20115218,-0.021410357,0.062309539,Aminoacylase-1
cg25129765,-0.0040757,0.063464024,Aminoacylase-1
cg01102270,0.001099024,0.064900851,Aminoacylase-1
cg09030830,0.020449168,0.065704789,Aminoacylase-1
cg11113759,0.004927541,0.065765292,Aminoacylase-1
cg26950953,0.002579577,0.066753742,Aminoacylase-1
cg00574958,-0.037299392,0.069615669,Aminoacylase-1
cg12120327,0.001239088,0.07095126,Aminoacylase-1
cg22081008,-0.001056573,0.071673305,Aminoacylase-1
cg22527415,-9.15749e-4,0.073126559,Aminoacylase-1
cg12483876,-0.009677067,0.07384883,Aminoacylase-1
cg14134732,-0.023761809,0.073868781,Aminoacylase-1
cg14042504,0.00103962,0.077993471,Aminoacylase-1
cg01881899,0.036138442,0.083891143,Aminoacylase-1
cg01215936,-0.001765046,0.086770928,Aminoacylase-1
cg17691657,0.011873325,0.086939494,Aminoacylase-1
cg26705574,-0.003980445,0.087129676,Aminoacylase-1
cg16919517,0.005277075,0.087347178,Aminoacylase-1
cg17862152,0.011272367,0.088862442,Aminoacylase-1
cg19843939,0.0066352,0.091308488,Aminoacylase-1
cg24406917,0.00670587,0.093796967,Aminoacylase-1
cg19291576,0.004149963,0.098036463,Aminoacylase-1
cg24458609,0.007654229,0.100158604,Aminoacylase-1
cg16752652,-0.001949609,0.101301454,Aminoacylase-1
cg16300030,-0.002274111,0.102787559,Aminoacylase-1
cg27297576,0.002075094,0.106318887,Aminoacylase-1
cg23375719,-0.005285336,0.109147592,Aminoacylase-1
cg01848115,0.002680268,0.11903112,Aminoacylase-1
cg01097180,0.00857287,0.120532435,Aminoacylase-1
cg06606199,0.001413845,0.127918105,Aminoacylase-1
cg15508379,0.024439744,0.129425019,Aminoacylase-1
cg04916802,-0.025036389,0.131478376,Aminoacylase-1
cg08259514,-0.007149611,0.133863735,Aminoacylase-1
cg21514997,0.014239648,0.135929648,Aminoacylase-1
cg22742943,0.012188995,0.137039135,Aminoacylase-1
cg02893550,-0.012428693,0.138688708,Aminoacylase-1
cg24717799,-0.001478251,0.140916231,Aminoacylase-1
cg01215957,-0.001001153,0.144284943,Aminoacylase-1
cg02370100,0.01484333,0.150171699,Aminoacylase-1
cg27401945,-0.004995114,0.151798276,Aminoacylase-1
cg08827322,-0.001209058,0.180826931,Aminoacylase-1
cg03440556,0.008695893,0.185893638,Aminoacylase-1
cg19450840,0.003995873,0.186899556,Aminoacylase-1
cg21183461,-0.017935168,0.192262838,Aminoacylase-1
cg14416269,-0.001395171,0.201459432,Aminoacylase-1
cg02119091,-0.015659022,0.222351151,Aminoacylase-1
cg13660174,2.2463e-4,0.234978248,Aminoacylase-1
cg04865976,0.00751764,0.234997343,Aminoacylase-1
cg05634637,0.003036606,0.237498643,Aminoacylase-1
cg09933458,0.001239531,0.246320452,Aminoacylase-1
cg26719629,-0.001584194,0.248263029,Aminoacylase-1
cg20792206,0.001488489,0.256657423,Aminoacylase-1
cg26403843,0.011665179,0.265764149,Aminoacylase-1
cg13271452,-0.010209168,0.265867878,Aminoacylase-1
cg15020801,0.009734349,0.283861756,Aminoacylase-1
cg00817189,-0.00335676,0.288009119,Aminoacylase-1
cg09169455,0.001536182,0.297291861,Aminoacylase-1
cg12173150,0.003449001,0.299226438,Aminoacylase-1
cg27151362,-3.34357e-4,0.303792988,Aminoacylase-1
cg00319686,5.05736e-4,0.308600527,Aminoacylase-1
cg01065599,-4.20833e-4,0.311569575,Aminoacylase-1
cg15583492,0.018169533,0.316658884,Aminoacylase-1
cg17471062,-0.003290675,0.317003018,Aminoacylase-1
cg17378803,-0.001816641,0.325509169,Aminoacylase-1
cg01465177,0.004002741,0.32688123,Aminoacylase-1
cg10064060,0.01211839,0.330286684,Aminoacylase-1
cg23046919,0.005655323,0.330600021,Aminoacylase-1
cg08173263,0.029936433,0.332057568,Aminoacylase-1
cg07167185,0.002387988,0.341974411,Aminoacylase-1
cg09311683,-0.002428482,0.34521884,Aminoacylase-1
cg14991769,-2.48723e-4,0.349217893,Aminoacylase-1
cg11024682,0.018837979,0.355225537,Aminoacylase-1
cg03350299,-0.015903491,0.357828446,Aminoacylase-1
cg07068382,0.019157071,0.358831392,Aminoacylase-1
cg24307368,-0.002642344,0.377159623,Aminoacylase-1
cg09469355,-0.01656968,0.378543266,Aminoacylase-1
cg06829760,-0.017447133,0.378641611,Aminoacylase-1
cg06899313,-0.003074499,0.379885543,Aminoacylase-1
cg04189591,-0.006883564,0.384866735,Aminoacylase-1
cg14523898,0.006553481,0.384932056,Aminoacylase-1
cg26647566,0.012763921,0.397804226,Aminoacylase-1
cg12711252,0.006031485,0.408585373,Aminoacylase-1
cg25713736,8.97503e-4,0.409343864,Aminoacylase-1
cg05946623,-0.002272305,0.414339661,Aminoacylase-1
cg24381155,0.007830179,0.414668064,Aminoacylase-1
cg21126707,-0.00460608,0.416211134,Aminoacylase-1
cg18420868,0.002096799,0.41658506,Aminoacylase-1
cg16413785,-0.002778491,0.418545397,Aminoacylase-1
cg20587236,0.002010609,0.424898516,Aminoacylase-1
cg14737131,0.008102528,0.430327207,Aminoacylase-1
cg18740583,0.002264915,0.433534603,Aminoacylase-1
cg19458497,0.022468276,0.441507713,Aminoacylase-1
cg19590140,0.021199536,0.442316553,Aminoacylase-1
cg23475021,0.001708664,0.452145513,Aminoacylase-1
cg12494515,-0.005805373,0.458406849,Aminoacylase-1
cg00530438,0.005404013,0.464370789,Aminoacylase-1
cg21809624,-4.3005e-4,0.471421658,Aminoacylase-1
cg09092525,-0.009539409,0.472743559,Aminoacylase-1
cg26599989,0.016396171,0.474759881,Aminoacylase-1
cg14747903,0.042780306,0.479446402,Aminoacylase-1
cg00222799,0.013934529,0.482826443,Aminoacylase-1
cg17568809,0.026275783,0.48309156599999997,Aminoacylase-1
cg10031769,0.006246174,0.484932548,Aminoacylase-1
cg06500161,0.063120033,0.486511073,Aminoacylase-1
cg25741837,0.002666468,0.500436945,Aminoacylase-1
cg14476101,-0.058783929,0.506141446,Aminoacylase-1
cg04904059,-0.005808679,0.512504541,Aminoacylase-1
cg09059635,-0.002300837,0.515421476,Aminoacylase-1
cg08837626,0.014714215,0.515575657,Aminoacylase-1
cg01252136,0.007390504,0.518593562,Aminoacylase-1
cg01624202,0.006715253,0.51944585,Aminoacylase-1
cg07628841,-0.002829153,0.522310552,Aminoacylase-1
cg12559179,5.73549e-4,0.524157136,Aminoacylase-1
cg24670445,0.016489683,0.533843475,Aminoacylase-1
cg17111663,-0.010615309,0.534734253,Aminoacylase-1
cg18197594,-0.009800963,0.539519659,Aminoacylase-1
cg02219159,-0.008621635,0.5429383,Aminoacylase-1
cg06381803,0.008238682,0.545193254,Aminoacylase-1
cg19401111,-0.00226909,0.545532763,Aminoacylase-1
cg10843276,0.008494451,0.548023181,Aminoacylase-1
cg06939851,-0.005620579,0.554719582,Aminoacylase-1
cg07599713,0.003564244,0.556797647,Aminoacylase-1
cg00309945,0.003415792,0.557267636,Aminoacylase-1
cg12432568,0.015288399,0.557781563,Aminoacylase-1
cg17071731,-0.022229004,0.561821134,Aminoacylase-1
cg25270178,-0.007567906,0.571161224,Aminoacylase-1
cg22521263,-0.007349433,0.582516035,Aminoacylase-1
cg06564837,0.001682835,0.594946996,Aminoacylase-1
cg26276233,-0.010034679,0.597208008,Aminoacylase-1
cg04656831,-0.017401485,0.599121751,Aminoacylase-1
cg02424715,-0.046366087,0.59921297,Aminoacylase-1
cg00242031,-0.029005343,0.610905524,Aminoacylase-1
cg13686919,0.004109009,0.612774941,Aminoacylase-1
cg21508713,-0.006032211,0.619963161,Aminoacylase-1
cg01312762,0.0225245,0.632240747,Aminoacylase-1
cg19693031,-0.060578356,0.633654885,Aminoacylase-1
cg19562707,9.69e-5,0.638907546,Aminoacylase-1
cg23361828,-0.002859477,0.63992319,Aminoacylase-1
cg01675158,-0.002081306,0.642389085,Aminoacylase-1
cg05485462,-3.74047e-4,0.64409119,Aminoacylase-1
cg02058483,-0.028911278,0.650090829,Aminoacylase-1
cg02110529,-0.006553823,0.660871827,Aminoacylase-1
cg04820159,6.67401e-4,0.662874754,Aminoacylase-1
cg27597505,-0.002735913,0.666008736,Aminoacylase-1
cg00442907,0.009151314,0.667916534,Aminoacylase-1
cg11783901,-0.007063524,0.668025691,Aminoacylase-1
cg01119145,-0.002850332,0.66928086,Aminoacylase-1
cg07097026,-0.012413818,0.678487663,Aminoacylase-1
cg22244039,0.008377563,0.684448658,Aminoacylase-1
cg06617961,-1.16587e-4,0.68530641,Aminoacylase-1
cg21441657,-0.012041881,0.685544964,Aminoacylase-1
cg13081014,-0.025838056,0.689760079,Aminoacylase-1
cg20948923,-0.007321434,0.691702403,Aminoacylase-1
cg01606885,0.006413227,0.695464035,Aminoacylase-1
cg18087760,0.004325432,0.700076964,Aminoacylase-1
cg05992347,-0.00588074,0.70715428,Aminoacylase-1
cg17202735,-3.38686e-4,0.711093884,Aminoacylase-1
cg07676349,5.6385e-4,0.714215962,Aminoacylase-1
cg05236731,0.010729898,0.720385587,Aminoacylase-1
cg02512724,-0.002758497,0.720392312,Aminoacylase-1
cg16784985,-0.008607485,0.72090656,Aminoacylase-1
cg00085790,-0.018293336,0.722924023,Aminoacylase-1
cg25233308,-0.005715373,0.723533435,Aminoacylase-1
cg21221516,-0.004390504,0.724511431,Aminoacylase-1
cg11368182,-0.005643049,0.73015333,Aminoacylase-1
cg12352315,-8.54622e-4,0.736294235,Aminoacylase-1
cg22825191,-0.004424099,0.740060255,Aminoacylase-1
cg00049892,-0.014751063,0.742674719,Aminoacylase-1
cg14887054,0.003922572,0.746654699,Aminoacylase-1
cg04899500,-0.015693009,0.747167504,Aminoacylase-1
cg21244580,-0.010782102,0.748406864,Aminoacylase-1
cg22953865,-0.011647553,0.749121809,Aminoacylase-1
cg06690548,-0.068811563,0.74974841,Aminoacylase-1
cg20969221,4.54533e-4,0.75016201,Aminoacylase-1
cg19998400,-0.005755201,0.750674501,Aminoacylase-1
cg03431738,-0.018405933,0.752243841,Aminoacylase-1
cg02100604,-0.015581079,0.753446168,Aminoacylase-1
cg07917614,0.008679998,0.761748863,Aminoacylase-1
cg20156545,-0.021759153,0.76374313,Aminoacylase-1
cg18681028,-0.015861846,0.768124963,Aminoacylase-1
cg11643285,-0.09684591,0.771938087,Aminoacylase-1
cg19416290,0.003030784,0.773081,Aminoacylase-1
cg10241871,8.96485e-4,0.776501023,Aminoacylase-1
cg24134897,0.004987008,0.77943034,Aminoacylase-1
cg01792229,-0.005654654,0.780972595,Aminoacylase-1
cg06778159,-2.93951e-4,0.781388542,Aminoacylase-1
cg01201932,-0.013779374,0.781883941,Aminoacylase-1
cg11818544,0.008637988,0.783506634,Aminoacylase-1
cg23173402,-0.001254414,0.785775505,Aminoacylase-1
cg23835476,0.012610094,0.785891838,Aminoacylase-1
cg18597940,0.015567548,0.786463625,Aminoacylase-1
cg24201510,-0.010183625,0.789631613,Aminoacylase-1
cg20684251,-0.00471448,0.790667819,Aminoacylase-1
cg07429710,0.004895649,0.791902995,Aminoacylase-1
cg05769505,-0.006005733,0.79206767,Aminoacylase-1
cg17153382,0.002932709,0.793578751,Aminoacylase-1
cg14283887,0.012005536,0.793894753,Aminoacylase-1
cg02307664,-4.57882e-4,0.796107797,Aminoacylase-1
cg01388979,0.001143928,0.797061995,Aminoacylase-1
cg13488851,0.002541699,0.799410456,Aminoacylase-1
cg19748878,0.009471984,0.806333318,Aminoacylase-1
